Protein	Protein ID	Entry Name	Gene	Protein Length	Organism	Protein Existence	Description	Protein Probability	Top Peptide Probability	Combined Total Peptides	Combined Spectral Count	Combined Unique Spectral Count	Combined Total Spectral Count	TotalPeptides/Length	SpectralCount/Length	UniqueSpectralCount/Length	TotalSpectralCount/Length	C_01 Spectral Count	C_02 Spectral Count	C_03 Spectral Count	C_04 Spectral Count	C_05 Spectral Count	C_06 Spectral Count	C_07 Spectral Count	C_08 Spectral Count	T_01 Spectral Count	T_02 Spectral Count	T_03 Spectral Count	T_04 Spectral Count	T_05 Spectral Count	T_06 Spectral Count	T_07 Spectral Count	C_01 Unique Spectral Count	C_02 Unique Spectral Count	C_03 Unique Spectral Count	C_04 Unique Spectral Count	C_05 Unique Spectral Count	C_06 Unique Spectral Count	C_07 Unique Spectral Count	C_08 Unique Spectral Count	T_01 Unique Spectral Count	T_02 Unique Spectral Count	T_03 Unique Spectral Count	T_04 Unique Spectral Count	T_05 Unique Spectral Count	T_06 Unique Spectral Count	T_07 Unique Spectral Count	C_01 Total Spectral Count	C_02 Total Spectral Count	C_03 Total Spectral Count	C_04 Total Spectral Count	C_05 Total Spectral Count	C_06 Total Spectral Count	C_07 Total Spectral Count	C_08 Total Spectral Count	T_01 Total Spectral Count	T_02 Total Spectral Count	T_03 Total Spectral Count	T_04 Total Spectral Count	T_05 Total Spectral Count	T_06 Total Spectral Count	T_07 Total Spectral Count	C_01 Intensity	C_02 Intensity	C_03 Intensity	C_04 Intensity	C_05 Intensity	C_06 Intensity	C_07 Intensity	C_08 Intensity	T_01 Intensity	T_02 Intensity	T_03 Intensity	T_04 Intensity	T_05 Intensity	T_06 Intensity	T_07 Intensity	C_01 MaxLFQ Intensity	C_02 MaxLFQ Intensity	C_03 MaxLFQ Intensity	C_04 MaxLFQ Intensity	C_05 MaxLFQ Intensity	C_06 MaxLFQ Intensity	C_07 MaxLFQ Intensity	C_08 MaxLFQ Intensity	T_01 MaxLFQ Intensity	T_02 MaxLFQ Intensity	T_03 MaxLFQ Intensity	T_04 MaxLFQ Intensity	T_05 MaxLFQ Intensity	T_06 MaxLFQ Intensity	T_07 MaxLFQ Intensity	Indistinguishable Proteins
sp|A0A075B6S5|KV127_HUMAN	A0A075B6S5	KV127_HUMAN	IGKV1-27	117	Homo sapiens	1:Experimental evidence at protein level	Immunoglobulin kappa variable 1-27	1.0	0.999	3	4	4	8	0.02564102564102564	0.03418803418803419	0.03418803418803419	0.06837606837606838	0	1	0	0	0	0	2	1	0	0	0	0	0	0	0	0	1	0	0	0	0	2	1	0	0	0	0	0	0	0	0	1	0	0	1	1	3	2	0	0	0	0	0	0	0	0.0	9513391.0	0.0	0.0	0.0	0.0	18692092.0	5288122.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9513391.0	0.0	0.0	0.0	0.0	0.0	5288122.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
sp|A0A075B6S6|KVD30_HUMAN	A0A075B6S6	KVD30_HUMAN	IGKV2D-30	120	Homo sapiens	1:Experimental evidence at protein level	Immunoglobulin kappa variable 2D-30	1.0	0.999	2	85	0	85	0.016666666666666666	0.7083333333333334	0.0	0.7083333333333334	11	13	5	6	8	7	8	9	3	5	0	3	0	3	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	13	5	6	8	7	8	9	3	5	0	3	0	3	4	234558464.0	177861136.0	213131568.0	458150624.0	619447810.0	690955200.0	361863744.0	173441712.0	153369008.0	680382850.0	177699488.0	200619408.0	101742016.0	255806544.0	132382208.0	237524176.0	214967248.0	216792688.0	315306272.0	446220768.0	567337790.0	351252960.0	200173296.0	118900904.0	556169150.0	177699488.0	200619408.0	101742016.0	217524432.0	142870448.0	sp|P06310|KV230_HUMAN
sp|A0A075B6S9|KV137_HUMAN	A0A075B6S9	KV137_HUMAN	IGKV1-37	117	Homo sapiens	1:Experimental evidence at protein level	Probable non-functional immunoglobulinn kappa variable 1-37	0.9939	0.999	1	8	0	8	0.008547008547008548	0.06837606837606838	0.0	0.06837606837606838	1	0	1	0	1	0	2	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	1	0	2	2	0	1	0	0	0	0	0	24506576.0	0.0	13680390.0	0.0	13296489.0	6431681.0	22075962.0	17082836.0	0.0	0.0	5830406.5	0.0	0.0	0.0	0.0	24506576.0	0.0	13680390.0	0.0	13296489.0	6431681.0	22075962.0	17082836.0	0.0	0.0	5830406.5	0.0	0.0	0.0	0.0	sp|P0DSN7|KVD37_HUMAN
sp|A0A087WSY6|KVD15_HUMAN	A0A087WSY6	KVD15_HUMAN	IGKV3D-15	115	Homo sapiens	1:Experimental evidence at protein level	Immunoglobulin kappa variable 3D-15	1.0	0.999	3	63	12	63	0.02608695652173913	0.5478260869565217	0.10434782608695652	0.5478260869565217	7	6	5	3	4	5	4	9	2	5	3	2	1	2	5	4	1	1	0	1	1	1	1	0	1	0	0	0	0	1	7	6	5	3	4	5	4	9	2	5	3	2	1	2	5	79308480.0	93226704.0	93343488.0	70082704.0	157415136.0	122900144.0	102075920.0	53241048.0	33166264.0	183091136.0	55037616.0	22013450.0	15550704.0	29012440.0	55148388.0	52839812.0	55994748.0	64385172.0	49059500.0	109937600.0	85041072.0	70353016.0	29139320.0	33166264.0	107585424.0	55037616.0	22013450.0	15550704.0	29012440.0	33512024.0	
sp|A0A0A0MS14|HV145_HUMAN	A0A0A0MS14	HV145_HUMAN	IGHV1-45	117	Homo sapiens	1:Experimental evidence at protein level	Immunoglobulin heavy variable 1-45	0.9238	0.999	1	4	4	4	0.008547008547008548	0.03418803418803419	0.03418803418803419	0.03418803418803419	0	1	0	0	0	0	0	1	2	0	0	0	0	0	0	0	1	0	0	0	0	0	1	2	0	0	0	0	0	0	0	1	0	0	0	0	0	1	2	0	0	0	0	0	0	10906807.0	20736254.0	0.0	0.0	0.0	0.0	0.0	16002627.0	18400804.0	0.0	0.0	0.0	0.0	0.0	0.0	10906807.0	20736254.0	0.0	0.0	0.0	0.0	0.0	16002627.0	18400804.0	0.0	0.0	0.0	0.0	0.0	0.0	
sp|A0A0A0MS15|HV349_HUMAN	A0A0A0MS15	HV349_HUMAN	IGHV3-49	119	Homo sapiens	1:Experimental evidence at protein level	Immunoglobulin heavy variable 3-49	1.0	0.999	4	66	46	66	0.03361344537815126	0.5546218487394958	0.3865546218487395	0.5546218487394958	5	3	7	4	3	9	4	5	2	3	8	4	1	5	3	3	1	6	3	2	6	3	5	1	2	6	2	0	3	3	5	3	7	4	3	9	4	5	2	3	8	4	1	5	3	82596344.0	47044064.0	80403128.0	45763408.0	27135928.0	105128976.0	60675448.0	20948520.0	17452234.0	53835088.0	52006688.0	25111260.0	3912544.2	29323776.0	13618832.0	36265060.0	26264200.0	27741674.0	24444932.0	15394331.0	37235756.0	26890140.0	21852248.0	13358098.0	23754514.0	18265802.0	14111833.0	4841963.0	16654891.0	14206355.0	
sp|A0A0B4J1U3|LV136_HUMAN	A0A0B4J1U3	LV136_HUMAN	IGLV1-36	117	Homo sapiens	1:Experimental evidence at protein level	Immunoglobulin lambda variable 1-36	0.9238	0.999	1	4	4	4	0.008547008547008548	0.03418803418803419	0.03418803418803419	0.03418803418803419	0	0	0	0	0	0	1	0	0	1	0	0	0	0	2	0	0	0	0	0	0	1	0	0	1	0	0	0	0	2	0	0	0	0	0	0	1	0	0	1	0	0	0	0	2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6365659.0	0.0	0.0	0.0	0.0	2158909.8	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6365659.0	0.0	0.0	0.0	0.0	2158909.8	
sp|A0A0B4J1V0|HV315_HUMAN	A0A0B4J1V0	HV315_HUMAN	IGHV3-15	119	Homo sapiens	1:Experimental evidence at protein level	Immunoglobulin heavy variable 3-15	1.0	0.999	3	34	34	34	0.025210084033613446	0.2857142857142857	0.2857142857142857	0.2857142857142857	3	6	2	1	2	3	2	5	0	7	1	1	0	0	1	3	6	2	1	2	3	2	5	0	7	1	1	0	0	1	3	6	2	1	2	3	2	5	0	7	1	1	0	0	1	13973283.0	97205576.0	17994556.0	9192397.0	45513340.0	36101192.0	31150172.0	27046486.0	0.0	107841824.0	14817199.0	10314140.0	0.0	0.0	12387111.0	13569755.0	30518724.0	23400896.0	11954189.0	17311090.0	19931668.0	17210412.0	15266877.0	0.0	38168484.0	19268924.0	5848679.0	0.0	0.0	12029390.0	
sp|A0A0B4J1V2|HV226_HUMAN	A0A0B4J1V2	HV226_HUMAN	IGHV2-26	119	Homo sapiens	1:Experimental evidence at protein level	Immunoglobulin heavy variable 2-26	0.995	0.999	2	2	1	2	0.01680672268907563	0.01680672268907563	0.008403361344537815	0.01680672268907563	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0.0	18799486.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	13966490.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
sp|A0A0B4J1X8|HV343_HUMAN	A0A0B4J1X8	HV343_HUMAN	IGHV3-43	118	Homo sapiens	1:Experimental evidence at protein level	Immunoglobulin heavy variable 3-43	0.9868	0.999	2	8	8	103	0.01694915254237288	0.06779661016949153	0.06779661016949153	0.8728813559322034	0	0	1	0	2	1	1	1	0	0	0	0	1	0	1	0	0	1	0	2	1	1	1	0	0	0	0	1	0	1	7	7	9	6	7	11	9	10	6	6	5	4	3	6	7	0.0	0.0	0.0	0.0	9120963.0	0.0	5169017.5	0.0	0.0	0.0	0.0	0.0	7528581.5	0.0	0.0	0.0	0.0	0.0	0.0	9120963.0	0.0	5169017.5	0.0	0.0	0.0	0.0	0.0	7528581.5	0.0	0.0	
sp|A0A0B4J1Y8|LV949_HUMAN	A0A0B4J1Y8	LV949_HUMAN	IGLV9-49	123	Homo sapiens	1:Experimental evidence at protein level	Immunoglobulin lambda variable 9-49	0.9152	0.9989	1	1	1	1	0.008130081300813009	0.008130081300813009	0.008130081300813009	0.008130081300813009	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0.0	0.0	0.0	0.0	0.0	36328444.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
sp|A0A0B4J1Y9|HV372_HUMAN	A0A0B4J1Y9	HV372_HUMAN	IGHV3-72	119	Homo sapiens	1:Experimental evidence at protein level	Immunoglobulin heavy variable 3-72	1.0	0.999	4	26	26	26	0.03361344537815126	0.2184873949579832	0.2184873949579832	0.2184873949579832	3	4	1	2	2	2	1	4	1	5	0	0	0	1	0	3	4	1	2	2	2	1	4	1	5	0	0	0	1	0	3	4	1	2	2	2	1	4	1	5	0	0	0	1	0	73463368.0	42342596.0	0.0	72479888.0	59896396.0	60667288.0	35163520.0	47786364.0	14494764.0	108366952.0	18919146.0	5969646.5	7660561.0	8781366.0	0.0	31861150.0	48350700.0	0.0	38138808.0	31856744.0	37574088.0	32929258.0	21173542.0	13573778.0	50514368.0	17717038.0	5590340.0	7173815.0	15957626.0	0.0	
sp|A0A0B4J2D9|KVD13_HUMAN	A0A0B4J2D9	KVD13_HUMAN	IGKV1D-13	117	Homo sapiens	3:Protein inferred from homology	Immunoglobulin kappa variable 1D-13	1.0	0.999	2	29	0	29	0.017094017094017096	0.24786324786324787	0.0	0.24786324786324787	0	0	4	0	10	0	6	3	0	0	3	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	10	0	6	3	0	0	3	0	3	0	0	0.0	0.0	49016168.0	0.0	145045200.0	9100618.0	79511544.0	24229960.0	0.0	0.0	17028330.0	0.0	26047640.0	0.0	0.0	0.0	0.0	34833340.0	0.0	73873784.0	9100618.0	79511544.0	24229960.0	0.0	0.0	17028330.0	0.0	17856282.0	0.0	0.0	sp|P0DP09|KV113_HUMAN
sp|A0A0B4J2H0|HV69D_HUMAN	A0A0B4J2H0	HV69D_HUMAN	IGHV1-69D	117	Homo sapiens	1:Experimental evidence at protein level	Immunoglobulin heavy variable 1-69D	1.0	0.999	4	13	5	76	0.03418803418803419	0.1111111111111111	0.042735042735042736	0.6495726495726496	0	6	0	0	0	0	2	3	0	2	0	0	0	0	0	0	2	0	0	0	0	1	1	0	1	0	0	0	0	0	3	10	5	4	7	5	5	7	5	8	4	3	4	3	3	0.0	51778264.0	0.0	0.0	0.0	0.0	16776580.0	13757279.0	0.0	23926676.0	0.0	0.0	0.0	0.0	0.0	0.0	32319026.0	0.0	0.0	0.0	0.0	16776580.0	13757279.0	0.0	23926676.0	0.0	0.0	0.0	0.0	0.0	
sp|A0A0C4DH24|KV621_HUMAN	A0A0C4DH24	KV621_HUMAN	IGKV6-21	114	Homo sapiens	1:Experimental evidence at protein level	Immunoglobulin kappa variable 6-21	0.9238	0.999	1	10	10	10	0.008771929824561403	0.08771929824561403	0.08771929824561403	0.08771929824561403	0	2	2	0	2	0	2	1	0	0	1	0	0	0	0	0	2	2	0	2	0	2	1	0	0	1	0	0	0	0	0	2	2	0	2	0	2	1	0	0	1	0	0	0	0	0.0	19211404.0	23870258.0	0.0	10490800.0	0.0	25810706.0	10596648.0	0.0	0.0	17285092.0	0.0	0.0	0.0	0.0	0.0	19211404.0	23870258.0	0.0	10490800.0	0.0	25810706.0	10596648.0	0.0	0.0	17285092.0	0.0	0.0	0.0	0.0	
sp|A0A0C4DH25|KVD20_HUMAN	A0A0C4DH25	KVD20_HUMAN	IGKV3D-20	116	Homo sapiens	1:Experimental evidence at protein level	Immunoglobulin kappa variable 3D-20	0.9845	0.9988	3	8	8	101	0.02586206896551724	0.06896551724137931	0.06896551724137931	0.8706896551724138	0	4	0	0	0	0	0	2	0	1	0	0	0	0	1	0	4	0	0	0	0	0	2	0	1	0	0	0	0	1	10	18	6	7	7	6	7	11	5	7	2	3	3	4	5	23604518.0	31263178.0	36478856.0	38852924.0	42100296.0	36172148.0	65277884.0	23492278.0	0.0	46926472.0	30267592.0	17554048.0	6307471.0	0.0	18036154.0	23604518.0	31263178.0	36478856.0	38852924.0	42100296.0	36172148.0	65277884.0	23492278.0	0.0	46926472.0	30267592.0	17554048.0	6307471.0	0.0	18036154.0	
sp|A0A0C4DH29|HV103_HUMAN	A0A0C4DH29	HV103_HUMAN	IGHV1-3	117	Homo sapiens	1:Experimental evidence at protein level	Immunoglobulin heavy variable 1-3	0.9868	0.999	2	82	19	82	0.017094017094017096	0.7008547008547008	0.1623931623931624	0.7008547008547008	7	4	6	4	9	6	5	8	7	6	5	3	4	4	4	4	0	1	0	2	1	2	4	2	0	1	0	0	1	1	7	4	6	4	9	6	5	8	7	6	5	3	4	4	4	101256432.0	95283872.0	104098872.0	86283136.0	258696480.0	178448032.0	189681632.0	76512816.0	78509392.0	133732184.0	94464888.0	56285384.0	46056780.0	60767432.0	43226688.0	92157296.0	95283872.0	93679432.0	86283136.0	186417296.0	178448032.0	160685504.0	69759208.0	67374160.0	133732184.0	81649032.0	56285384.0	46056780.0	60767432.0	43226688.0	
sp|A0A0C4DH31|HV118_HUMAN	A0A0C4DH31	HV118_HUMAN	IGHV1-18	117	Homo sapiens	1:Experimental evidence at protein level	Immunoglobulin heavy variable 1-18	0.9868	0.999	2	24	24	56	0.017094017094017096	0.20512820512820512	0.20512820512820512	0.47863247863247865	2	3	2	1	1	4	2	2	2	3	1	0	0	0	1	2	3	2	1	1	4	2	2	2	3	1	0	0	0	1	4	4	5	5	5	8	4	3	3	6	3	1	0	1	4	32951660.0	30983872.0	19738866.0	14439529.0	9187192.0	21604162.0	18154466.0	19166576.0	9057403.0	34020456.0	0.0	0.0	0.0	0.0	7537939.5	32951660.0	30983872.0	19738866.0	14439529.0	9187192.0	21604162.0	18154466.0	19166576.0	9057403.0	34020456.0	0.0	0.0	0.0	0.0	7537939.5	
sp|A0A0C4DH32|HV320_HUMAN	A0A0C4DH32	HV320_HUMAN	IGHV3-20	117	Homo sapiens	1:Experimental evidence at protein level	Immunoglobulin heavy variable 3-20	0.9867	0.999	3	1	1	97	0.02564102564102564	0.008547008547008548	0.008547008547008548	0.8290598290598291	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	7	8	8	6	5	10	8	9	6	7	5	4	2	6	6	0.0	0.0	0.0	0.0	0.0	12007652.0	13377988.0	0.0	0.0	22820418.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	12007652.0	13377988.0	0.0	0.0	22820418.0	0.0	0.0	0.0	0.0	0.0	
