U965_HCC1806	U965_MCF10A	U965_MCF7	U965_MDA231	U965_T47D	con_HCC1806	con_MCF10A	con_MCF7	con_MDA231	con_T47D	Organism	Protein.Existence	Protein.Length	Number.Of.Imputations	Normal_vs_Basal_logFC	Normal_vs_Basal_AveExpr	Normal_vs_Basal_t	Normal_vs_Basal_P.Value	Normal_vs_Basal_adj.P.Val	Normal_vs_Basal_B	Normal_vs_Basal_-log(P.Value)	Normal_vs_Basal_-log(adj.P.Val)	Protein	Protein.ID	Entry.Name	Gene	Description	Indistinguishable.Proteins	Normal_vs_Basal_Valid	Normal_vs_Basal_Significant
22.828824996948242	19.495464324951172	23.689619064331055	23.951250076293945	22.82474136352539	22.37041664123535	20.7691593170166	23.46456527709961	23.638282775878906	23.81629753112793			32	0	3.09333946312326	22.689349073719	4.81399082244139	0.000428239012842826	0.0118770779276204	0.294309897291306	3.36831377073944	1.92529039403546	sp|NC_000001.11|NC_000001.11_237802650_237802748_-	NC_000001.11					+	+
18.7916259765625	21.043886184692383	18.87125587463379	19.0621395111084	20.087631225585938	20.389034271240234	19.258176803588867	19.945749282836914	18.78572654724121	20.925125122070312			89	3	-0.863519645076551	19.721216282001	-1.01595047346502	0.329780037894852	0.563028984295357	-5.65750516569982	0.481775636424959	0.249469247430134	sp|NC_000002.12|NC_000002.12_238498967_238499236_-	NC_000002.12					+	
20.103618621826172	21.17805290222168	19.44369888305664	19.805816650390625	16.759389877319336	20.57525062561035	22.661922454833984	20.008745193481445	20.818574905395508	19.122333526611328			52	2	-1.54727516886775	20.0380975238558	-1.85467498518869	0.0884694261954826	0.239025745923779	-4.61137597249942	1.05320678951325	0.621555317836687	sp|NC_000003.12|NC_000003.12_153203606_153203764_-	NC_000003.12					+	
18.788898468017578	17.97093963623047	19.643041610717773	20.128564834594727	17.999486923217773	19.642749786376953	19.1651611328125	20.009353637695312	20.037927627563477	18.215179443359375			23	5	1.11466170974624	19.1573551520087	1.65036166826417	0.124883460634425	0.300383403543687	-4.90346224808969	0.903495075083287	0.522324066170231	sp|NC_000006.12|NC_000006.12_52688661_52688732_+	NC_000006.12				sp|Q8N9Q2|SR1IP_HUMAN	+	
21.513338088989258	20.775278091430664	22.0428466796875	22.338918685913086	20.554630279541016	21.709617614746094	21.8797664642334	20.791982650756836	21.460662841796875	20.935924530029297			90	0	0.468893012886753	21.3989837596276	0.749791024156244	0.467884481867293	0.681497570426409	-5.88537151540137	0.329861358635913	0.166535688108522	sp|NC_000008.11|NC_000008.11_101028445_101028717_-	NC_000008.11					+	
19.7260799407959	20.033721923828125	20.60143280029297	18.554885864257812	21.144153594970703	20.15751838684082	19.88019561767578	19.042680740356445	20.799108505249023	20.781484603881836			86	1	-0.119482999825955	20.0743051969872	-0.148966547659635	0.884064198533662	0.945710679827851	-6.15849672039051	0.0535161964614018	0.0242417064864854	sp|NC_000010.11|NC_000010.11_91807179_91807439_-	NC_000010.11				sp|P49458|SRP09_HUMAN	+	
19.104455947875977	20.525279998779297	17.354764938354492	17.945396423339844	18.33891487121582	18.488733291625977	20.510452270507812	18.83133888244629	17.91649055480957	18.317720413208008			35	8	-2.11267207015056	18.7311200041335	-3.97148777551012	0.00186895696661467	0.0233967403208526	-1.07736070967654	2.72840069828781	1.63084464512311	sp|NC_000011.10|NC_000011.10_106824850_106824957_+	NC_000011.10				sp|P46063|RECQ1_HUMAN	+	+
21.244844436645508	18.667051315307617	19.659881591796875	20.397628784179688	19.464096069335938	21.175071716308594	25.361154556274414	17.089031219482422	25.934375762939453	20.33919906616211			93	2	0.227312292762416	20.9188504858614	0.130485536631888	0.898352956384413	0.95008690095441	-6.16117054960384	0.0465529986406251	0.0222366695754441	sp|NC_000012.12|NC_000012.12_53142053_53142334_+	NC_000012.12				sp|Q9Y241|HIG1A_HUMAN	+	
21.793550491333008	20.224102020263672	20.189950942993164	16.972679138183594	16.408910751342773	20.98859405517578	20.73648452758789	19.91431427001953	21.285018920898438	18.02345848083496			85	3	-0.195772192082572	19.6402577906629	-0.155538015112187	0.87899338427089	0.94296190930871	-6.1574610508589	0.0560143936241333	0.0255058501164905	sp|NC_000014.9|NC_000014.9_60397757_60398014_+	NC_000014.9				sp|Q9Y5S9|RBM8A_HUMAN	+	
22.704057693481445	22.092458724975586	17.703144073486328	22.279359817504883	21.92852783203125	23.840848922729492	21.437501907348633	23.34562873840332	21.55255699157715	22.91689682006836			41	1	0.860193689115039	21.9823932998128	0.644024495663065	0.531725322994247	0.733413315001496	-5.9586951448893	0.274312656265123	0.134651209756948	sp|NC_000014.9|NC_000014.9_76546412_76546537_+	NC_000014.9					+	
30.343198776245117	28.83053970336914	30.13814926147461	30.664857864379883	29.511417388916016	31.776132583618164	31.498382568359375	31.267004013061523	31.710338592529297	31.101388931274414			48	0	1.01519599678998	30.6815103631403	0.606384041677814	0.555603314210426	0.746111565229218	-5.98229731670511	0.255235172331458	0.127196228102744	sp|NC_000015.10|NC_000015.10_26854537_26854683_-	NC_000015.10					+	
22.697219848632812	18.908052444458008	17.396575927734375	17.595760345458984	18.669130325317383	19.254032135009766	22.399879455566406	18.109350204467773	21.20485496520996	18.282907485961914			55	6	-0.426832411100616	19.4399429099942	-0.353497532341654	0.729872850837406	0.859749700433448	-6.10553892427712	0.136752790549808	0.0656279668291514	sp|NC_000019.10|NC_000019.10_12307281_12307448_-	NC_000019.10					+	
20.927446365356445	21.24713897705078	18.921184539794922	17.918380737304688	20.224510192871094	19.882614135742188	21.12052345275879	18.727216720581055	19.295129776000977	19.188854217529297			98	5	-1.64213491016938	19.7427553675281	-2.02682092246569	0.0655896779395657	0.194800065396356	-4.35148828436364	1.18316450157872	0.71041090166032	sp|NC_000019.10|NC_000019.10_41506152_41506448_+	NC_000019.10					+	
18.659761428833008	20.924903869628906	17.894014358520508	17.766647338867188	17.135921478271484	18.873197555541992	21.569639205932617	19.27948570251465	17.455280303955078	17.714920043945312			95	8	-3.0088599098156	18.7217139588619	-5.06065354227197	0.000283067128126499	0.0101816649004428	0.676438576875336	3.54811056123243	1.99218120058914	sp|NC_000023.11|NC_000023.11_115718942_115719229_-	NC_000023.11				sp|P55854|SUMO3_HUMAN, sp|P61956|SUMO2_HUMAN, sp|Q6EEV6|SUMO4_HUMAN	+	+
21.130544662475586	19.756610870361328	17.479076385498047	20.968524932861328	17.640466690063477	21.5411319732666	18.922607421875	18.055191040039062	21.167165756225586	17.859333038330078	Homo sapiens	1:Experimental evidence at protein level	658	5	1.88308056926989	19.4460521529819	3.3551912200837	0.00575530218061631	0.0446940323626146	-2.12854004831846	2.23993186891883	1.34975046087263	sp|O00116|ADAS_HUMAN	O00116	ADAS_HUMAN	AGPS	Alkyldihydroxyacetonephosphate synthase, peroxisomal		+	+
18.182750701904297	20.773204803466797	20.53498077392578	18.441015243530273	20.538110733032227	18.511110305786133	20.074562072753906	19.577322006225586	20.028566360473633	20.003162384033203	Homo sapiens	1:Experimental evidence at protein level	706	4	-1.5978804768698	19.6691879082584	-2.32071795190735	0.0387979593973358	0.142989041619708	-3.88491582428071	1.41119111579193	0.844697244677966	sp|O00139|KIF2A_HUMAN	O00139	KIF2A_HUMAN	KIF2A	Kinesin-like protein KIF2A		+	
21.717937469482422	21.599668502807617	22.13202476501465	22.3811092376709	21.502534866333008	22.7413387298584	21.63792610168457	22.486343383789062	22.301836013793945	22.79798126220703	Homo sapiens	1:Experimental evidence at protein level	427	0	0.701094668374896	22.1315574810391	1.20058558727911	0.253168420714587	0.482546821530327	-5.46600053794593	0.596590467551692	0.316460540671063	sp|O00148|DX39A_HUMAN	O00148	DX39A_HUMAN	DDX39A	ATP-dependent RNA helicase DDX39A		+	
19.763744354248047	21.91799545288086	17.197277069091797	17.725252151489258	17.993982315063477	17.95426368713379	22.510669708251953	19.022666931152344	18.755504608154297	18.141300201416016	Homo sapiens	1:Experimental evidence at protein level	329	7	-3.6146083417185	19.09147853504	-5.50851504956032	0.000136404534672514	0.00846793714177014	1.34510992929247	3.86517119162592	2.07222237444617	sp|O00151|PDLI1_HUMAN	O00151	PDLI1_HUMAN	PDLIM1	PDZ and LIM domain protein 1		+	+
21.539794921875	20.91900634765625	21.397300720214844	21.610031127929688	20.54481315612793	21.806411743164062	20.596696853637695	19.757705688476562	22.470726013183594	21.97556495666504	Homo sapiens	1:Experimental evidence at protein level	1063	0	1.12637646876941	21.2623455395853	1.57873363465472	0.140486125943537	0.327815708817578	-5.00101616756181	0.852366563471937	0.484370239022602	sp|O00159|MYO1C_HUMAN	O00159	MYO1C_HUMAN	MYO1C	Unconventional myosin-Ic		+	
19.6539363861084	18.619525909423828	20.05137825012207	19.40726089477539	18.252643585205078	21.050369262695312	19.02789878845215	21.59658432006836	18.139875411987305	19.52239418029785	Homo sapiens	1:Experimental evidence at protein level	279	3	0.77108772081851	19.53212951326	0.840246832161682	0.417263503735649	0.638582321595435	-5.81469859544747	0.379589599518747	0.194783108564854	sp|O00165|HAX1_HUMAN	O00165	HAX1_HUMAN	HAX1	HCLS1-associated protein X-1		+	
18.63228988647461	20.435874938964844	18.65035629272461	17.57248306274414	18.7663631439209	18.319063186645508	20.55745506286621	18.47283935546875	18.128385543823242	19.17928695678711	Homo sapiens	1:Experimental evidence at protein level	330	7	-2.2918382109517	18.8709935259859	-4.82428129159958	0.000420836303715586	0.0118770779276204	0.310442378618153	3.37588680254425	1.92529039403546	sp|O00170|AIP_HUMAN	O00170	AIP_HUMAN	AIP	AH receptor-interacting protein		+	+
18.576370239257812	20.47561264038086	19.48887825012207	19.489349365234375	19.296375274658203	17.91461181640625	20.631010055541992	17.933610916137695	18.771591186523438	18.98575210571289	Homo sapiens	1:Experimental evidence at protein level	422	4	-1.8208532881588	19.1571709904601	-2.79521539011862	0.0162422202383765	0.0826710760447702	-3.09140004511042	1.78935460493666	1.08264640956874	sp|O00231|PSD11_HUMAN	O00231	PSD11_HUMAN	PSMD11	26S proteasome non-ATPase regulatory subunit 11		+	
22.335418701171875	19.159957885742188	21.542484283447266	20.5700626373291	21.488788604736328	21.608121871948242	22.976287841796875	21.684242248535156	21.817453384399414	18.24939727783203	Homo sapiens	1:Experimental evidence at protein level	195	1	0.559506196604968	21.1347859008328	0.519184603313645	0.613111498347512	0.789400240828906	-6.03182044890772	0.212460538999092	0.102702745446649	sp|O00264|PGRC1_HUMAN	O00264	PGRC1_HUMAN	PGRMC1	Membrane-associated progesterone receptor component 1		+	
19.21457862854004	19.82364845275879	16.429094314575195	17.61258316040039	17.95830726623535	20.474544525146484	20.75377655029297	19.700069427490234	20.76097869873047	20.797035217285156	Homo sapiens	1:Experimental evidence at protein level	357	4	-0.73947503413779	19.3486308831348	-0.642182736990604	0.53287989651926	0.733722167547795	-5.95988082590603	0.273370663687481	0.134468359624624	sp|O00303|EIF3F_HUMAN	O00303	EIF3F_HUMAN	EIF3F	Eukaryotic translation initiation factor 3 subunit F		+	
22.018142700195312	19.998294830322266	20.274900436401367	21.003782272338867	20.621082305908203	23.655574798583984	22.412893295288086	21.198930740356445	22.70140838623047	21.797245025634766	Homo sapiens	1:Experimental evidence at protein level	501	0	1.17590978544868	21.5638284694995	1.42537376972564	0.179640381109053	0.389588924935863	-5.20032129614399	0.745596032247805	0.409393397552167	sp|O00330|ODPX_HUMAN	O00330	ODPX_HUMAN	PDHX	Pyruvate dehydrogenase protein X component, mitochondrial		+	
18.397010803222656	20.415056228637695	18.80352020263672	18.080181121826172	18.730318069458008	19.226408004760742	20.849939346313477	19.788223266601562	18.61876678466797	18.543060302734375	Homo sapiens	1:Experimental evidence at protein level	1097	7	-2.00892538693703	19.1428680134561	-3.8053360481164	0.00252314114472608	0.0265809985711841	-1.35796248353082	2.59805845433334	1.5754287079001	sp|O00410|IPO5_HUMAN	O00410	IPO5_HUMAN	IPO5	Importin-5		+	+
21.110107421875	17.965736389160156	20.083980560302734	20.511255264282227	21.174842834472656	21.10041046142578	21.414289474487305	20.76336097717285	21.483596801757812	20.347476959228516	Homo sapiens	1:Experimental evidence at protein level	1230	1	1.40073792408306	20.5933259685855	1.72107955301801	0.110995422908605	0.276775742628981	-4.8045810196018	0.954694929740556	0.557871975284704	sp|O00411|RPOM_HUMAN	O00411	RPOM_HUMAN	POLRMT	DNA-directed RNA polymerase, mitochondrial		+	
22.700450897216797	21.546852111816406	22.45181655883789	21.41290283203125	22.089479446411133	23.139774322509766	18.687665939331055	22.270397186279297	22.966934204101562	21.308530807495117	Homo sapiens	1:Experimental evidence at protein level	153	1	2.44569554206475	21.8594636266464	3.02919689949749	0.0105257342652893	0.0632509435434495	-2.69032989258846	1.97774759846232	1.19893299153306	sp|O00422|SAP18_HUMAN	O00422	SAP18_HUMAN	SAP18	Histone deacetylase complex subunit SAP18		+	
22.297378540039062	20.80032730102539	17.62700080871582	21.180362701416016	16.881559371948242	21.437490463256836	20.267452239990234	18.31460189819336	20.8946475982666	18.498920440673828	Homo sapiens	1:Experimental evidence at protein level	579	4	0.946223465842753	19.8117895764882	1.36995551115238	0.195888791593096	0.413374018284188	-5.26889008501325	0.707990412849208	0.383656823476526	sp|O00425|IF2B3_HUMAN	O00425	IF2B3_HUMAN	IGF2BP3	Insulin-like growth factor 2 mRNA-binding protein 3		+	
22.60020637512207	21.139907836914062	22.497894287109375	22.677221298217773	22.780475616455078	19.13945770263672	20.074222564697266	20.21463394165039	19.78738021850586	18.835630416870117	Homo sapiens	1:Experimental evidence at protein level	90	2	0.47724438825648	20.9781646337253	0.366447303960947	0.720436658204977	0.853594959459951	-6.10075793721127	0.142404196947606	0.0687481581163798	sp|O00479|HMGN4_HUMAN	O00479	HMGN4_HUMAN	HMGN4	High mobility group nucleosome-binding domain-containing protein 4		+	
19.280038833618164	19.92525291442871	18.65227699279785	17.409666061401367	16.86264419555664	18.727121353149414	20.71380043029785	19.54205322265625	19.35340118408203	19.66712760925293	Homo sapiens	1:Experimental evidence at protein level	310	6	-1.58874708900713	19.008388577018	-2.05384120407168	0.0625412197636901	0.191426841573997	-4.30970270540753	1.20383365281048	0.717997166192608	sp|O00487|PSDE_HUMAN	O00487	PSDE_HUMAN	PSMD14	26S proteasome non-ATPase regulatory subunit 14		+	
20.400196075439453	20.743379592895508	17.16751480102539	17.383792877197266	16.68204116821289	20.841333389282227	20.89415740966797	19.661754608154297	18.570058822631836	17.943050384521484	Homo sapiens	1:Experimental evidence at protein level	517	5	-1.48394183471249	19.0199372569515	-1.54950263927978	0.147324937103682	0.336564374712099	-5.04003779861222	0.831723735642823	0.472931855932298	sp|O00515|LAD1_HUMAN	O00515	LAD1_HUMAN	LAD1	Ladinin-1		+	
23.20819664001465	20.717037200927734	23.08265495300293	22.959749221801758	22.191253662109375	21.483789443969727	20.237585067749023	22.592222213745117	22.236886978149414	21.341476440429688	Homo sapiens	1:Experimental evidence at protein level	588	0	2.02008012773999	22.0069892643055	3.02718480642167	0.0105650950583981	0.0632509435434495	-2.69379201644616	1.97612659107243	1.19893299153306	sp|O00541|PESC_HUMAN	O00541	PESC_HUMAN	PES1	Pescadillo homolog		+	
22.883838653564453	19.394939422607422	21.059749603271484	22.270668029785156	21.66562843322754	21.72949981689453	19.084138870239258	19.461156845092773	21.980398178100586	17.765018463134766	Homo sapiens	1:Experimental evidence at protein level	594	2	2.99540291071299	20.7268967905874	3.13152301790626	0.00870632963503968	0.0558108583680138	-2.51409495787709	2.06016489380984	1.25328129800609	sp|O00567|NOP56_HUMAN	O00567	NOP56_HUMAN	NOP56	Nucleolar protein 56		+	
23.37980079650879	22.792076110839844	23.00575828552246	22.78915023803711	21.7305908203125	22.189226150512695	23.109268188476562	22.434865951538086	22.76239013671875	21.688669204711914	Homo sapiens	1:Experimental evidence at protein level	662	0	-0.130882336590368	22.5854380621558	-0.236065734714315	0.817378846352795	0.916516379697565	-6.14116344963171	0.0875766059578364	0.0378597690556094	sp|O00571|DDX3X_HUMAN	O00571	DDX3X_HUMAN	DDX3X	ATP-dependent RNA helicase DDX3X		+	
18.932371139526367	20.3360538482666	18.917579650878906	20.355682373046875	19.517658233642578	18.33066749572754	20.29071807861328	19.563568115234375	20.01677131652832	18.629772186279297	Homo sapiens	1:Experimental evidence at protein level	521	4	-0.865154451988563	19.4887689579297	-1.24042884036915	0.238617617534494	0.469674830116023	-5.42139105353358	0.622297494799968	0.328202713043526	sp|O00629|IMA3_HUMAN	O00629	IMA3_HUMAN	KPNA4	Importin subunit alpha-3		+	
19.558984756469727	20.687244415283203	17.557788848876953	18.320005416870117	17.783588409423828	18.4247989654541	20.689796447753906	17.828977584838867	18.22398567199707	18.615859985351562	Homo sapiens	1:Experimental evidence at protein level	179	8	-2.01513518829109	18.7660656402927	-3.79021202874252	0.00259335819393809	0.0269036166836783	-1.38363053223549	2.58613749445039	1.57018933337366	sp|O00762|UBE2C_HUMAN	O00762	UBE2C_HUMAN	UBE2C	Ubiquitin-conjugating enzyme E2 C		+	+
18.65921401977539	20.123550415039062	17.595619201660156	18.29150390625	17.789180755615234	18.67601203918457	19.843534469604492	19.021623611450195	19.1374454498291	18.215951919555664	Homo sapiens	1:Experimental evidence at protein level	582	8	-1.25711323381798	18.7322356152277	-2.5954828118479	0.0234858946369833	0.106157998417065	-3.4297694475929	1.62919289179306	0.974047278582005	sp|O14545|TRAD1_HUMAN	O14545	TRAD1_HUMAN	TRAFD1	TRAF-type zinc finger domain-containing protein 1		+	
17.580238342285156	20.881662368774414	17.955068588256836	18.041217803955078	18.752952575683594	18.43475914001465	20.24359703063965	17.780372619628906	18.605976104736328	17.991168975830078	Homo sapiens	1:Experimental evidence at protein level	736	3	-2.35650138774708	18.6257303841319	-4.65346551775988	0.000563144442491278	0.0139147872244663	0.0405636468070787	3.24938019745548	1.85652343021723	sp|O14641|DVL2_HUMAN	O14641	DVL2_HUMAN	DVL2	Segment polarity protein dishevelled homolog DVL-2	sp|Q92997|DVL3_HUMAN	+	+
18.004011154174805	18.186168670654297	21.354257583618164	17.14434814453125	18.916709899902344	21.65595245361328	23.993122100830078	21.352327346801758	19.053119659423828	20.651172637939453	Homo sapiens	1:Experimental evidence at protein level	213	5	-2.06198568278057	20.0251617154643	-1.42164076379618	0.180698300775654	0.390834611357208	-5.20499999800188	0.743045931375022	0.408006983193158	sp|O14735|CDIPT_HUMAN	O14735	CDIPT_HUMAN	CDIPT	CDP-diacylglycerol--inositol 3-phosphatidyltransferase		+	
18.524290084838867	20.647491455078125	17.791322708129883	16.41100311279297	17.0820369720459	17.36275863647461	20.442607879638672	18.839492797851562	19.164613723754883	18.567237854003906	Homo sapiens	1:Experimental evidence at protein level	125	8	-2.64236047145279	18.4783093727721	-3.91529631979469	0.00206799221078561	0.0238971667763781	-1.17196069799628	2.68445110137075	1.62165358550888	sp|O14737|PDCD5_HUMAN	O14737	PDCD5_HUMAN	PDCD5	Programmed cell death protein 5		+	+
18.662561416625977	20.333480834960938	17.728548049926758	17.237016677856445	17.907812118530273	18.54729652404785	20.81760025024414	18.561565399169922	18.696298599243164	18.68927001953125	Homo sapiens	1:Experimental evidence at protein level	490	8	-2.24845095870631	18.7144186006767	-4.43595168655752	0.000820571545237879	0.0155780137031547	-0.309317529348981	3.0858835470333	1.80748791847045	sp|O14879|IFIT3_HUMAN	O14879	IFIT3_HUMAN	IFIT3	Interferon-induced protein with tetratricopeptide repeats 3		+	+
19.6790771484375	19.99011993408203	21.39983558654785	19.35915184020996	20.51905059814453	18.52570343017578	24.599403381347656	20.814983367919922	22.0178279876709	19.799291610717773	Homo sapiens	1:Experimental evidence at protein level	82	2	-2.33840227278615	20.6634401772329	-2.07803147426608	0.0599246322622657	0.186783429459677	-4.27208360285771	1.22239462240835	0.72866165494444	sp|O14949|QCR8_HUMAN	O14949	QCR8_HUMAN	UQCRQ	Cytochrome b-c1 complex subunit 8		+	
22.624462127685547	21.56562614440918	20.948278427124023	21.014446258544922	20.925968170166016	22.376625061035156	21.950647354125977	20.018430709838867	19.903993606567383	21.309438705444336	Homo sapiens	1:Experimental evidence at protein level	172	0	-0.239195477355619	21.2633195506891	-0.297249136009367	0.771379687095587	0.889878419928011	-6.12434684222474	0.112731801687828	0.0506693249969174	sp|O14950|ML12B_HUMAN	O14950	ML12B_HUMAN	MYL12B	Myosin regulatory light chain 12B	sp|P19105|ML12A_HUMAN	+	
18.619075775146484	19.27261734008789	17.881303787231445	17.85598373413086	16.539953231811523	18.86249542236328	20.224891662597656	18.743738174438477	19.563026428222656	18.17538833618164	Homo sapiens	1:Experimental evidence at protein level	1030	6	-0.986463986717215	18.5673955466341	-1.69337084350947	0.116264878417258	0.284691837421717	-4.84361844011381	0.934551458213919	0.545624984604101	sp|O14974|MYPT1_HUMAN	O14974	MYPT1_HUMAN	PPP1R12A	Protein phosphatase 1 regulatory subunit 12A		+	
24.597476959228516	21.9191951751709	23.676349639892578	25.306556701660156	24.681711196899414	20.69032859802246	21.136112213134766	19.88287353515625	21.454835891723633	20.430526733398438	Homo sapiens	1:Experimental evidence at protein level	420	0	1.51881574053154	22.3826776691566	0.971830261394111	0.350394214026278	0.588153209058453	-5.69936597789212	0.455443073843017	0.230509529057143	sp|O14979|HNRDL_HUMAN	O14979	HNRDL_HUMAN	HNRNPDL	Heterogeneous nuclear ribonucleoprotein D-like		+	
18.304746627807617	18.244558334350586	18.241777420043945	17.41454315185547	18.67650032043457	18.76886749267578	18.65157699584961	19.471385955810547	18.15594482421875	20.403181076049805	Homo sapiens	1:Experimental evidence at protein level	1071	4	-0.255747554432443	18.6364733246591	-0.414186995568346	0.686074050048973	0.831839514491657	-6.08168529327314	0.163629007045357	0.0799604533891166	sp|O14980|XPO1_HUMAN	O14980	XPO1_HUMAN	XPO1	Exportin-1		+	
19.24441909790039	18.4788761138916	19.313081741333008	18.402740478515625	18.096147537231445	21.528356552124023	19.93048667907715	21.090839385986328	20.894502639770508	20.62769317626953	Homo sapiens	1:Experimental evidence at protein level	2390	4	0.842381822344162	19.757353297569	0.845541035946631	0.414417329578011	0.637650867638677	-5.81034085453099	0.382562092107557	0.19541704504105	sp|O15020|SPTN2_HUMAN	O15020	SPTN2_HUMAN	SPTBN2	Spectrin beta chain, non-erythrocytic 2		+	
20.102344512939453	20.2332763671875	19.20130729675293	18.056034088134766	20.583251953125	19.475879669189453	18.90447425842285	19.17479133605957	19.281679153442383	20.658952713012695	Homo sapiens	1:Experimental evidence at protein level	2357	3	-0.31576418923013	19.5710773494025	-0.394375398073479	0.700250868674461	0.839906579049867	-6.08987595205012	0.154746343753533	0.075769016866013	sp|O15027|SC16A_HUMAN	O15027	SC16A_HUMAN	SEC16A	Protein transport protein Sec16A		+	
22.032855987548828	17.86156463623047	20.213197708129883	19.400362014770508	18.835783004760742	22.240453720092773	18.52812385559082	22.032609939575195	22.329734802246094	21.007883071899414	Homo sapiens	1:Experimental evidence at protein level	1029	2	3.31815217982265	20.4447509855539	3.4949792027944	0.00444843178646728	0.0377838674863065	-1.88806735938227	2.35179306464118	1.42269359056461	sp|O15042|SR140_HUMAN	O15042	SR140_HUMAN	U2SURP	U2 snRNP-associated SURP motif-containing protein		+	+
