sequence_id,true_label
sp|Q64389|CD52_MOUSE,1
sp|Q99JS0|NCMAP_MOUSE,1
sp|Q7TNS2|MIC10_MOUSE,1
sp|P0C8K7|SMIM1_MOUSE,1
sp|Q9D173|TOM7_MOUSE,1
sp|Q4VAB4|CNPY1_MOUSE,1
sp|Q99LX8|OST4_MOUSE,1
sp|P10889|CXCL2_MOUSE,1
sp|P62816|HRK_MOUSE,1
sp|Q8K0C8|COX19_MOUSE,1
sp|P60897|SEM1_MOUSE,1
sp|Q6ZWM4|LSM8_MOUSE,1
sp|P0DP99|STMP1_MOUSE,1
sp|P57774|NPY_MOUSE,1
sp|P62322|LSM5_MOUSE,1
sp|Q91VR8|BRK1_MOUSE,1
sp|P12968|IAPP_MOUSE,1
sp|Q05020|APOC2_MOUSE,1
sp|P34928|APOC1_MOUSE,1
sp|Q9QUJ0|HCST_MOUSE,1
sp|P59648|FXYD7_MOUSE,1
sp|Q61835|FXYD3_MOUSE,1
sp|Q3UZP4|SVIP_MOUSE,1
sp|Q9WU12|SNURF_MOUSE,1
sp|Q8BT51|COA4_MOUSE,1
sp|Q9WTK0|NUPR1_MOUSE,1
sp|Q8BGS2|BOLA2_MOUSE,1
sp|P0C0P8|NPS_MOUSE,1
sp|Q91V82|DEFB8_MOUSE,1
sp|Q8R2I6|DEFB9_MOUSE,1
sp|O88745|SCRG1_MOUSE,1
sp|Q5RKS2|SMIM7_MOUSE,1
sp|P62313|LSM6_MOUSE,1
sp|P02802|MT1_MOUSE,1
sp|O88430|CCL22_MOUSE,1
sp|Q9CQZ1|HSBP1_MOUSE,1
sp|Q8BGD8|COA6_MOUSE,1
sp|Q9JIS3|SMCO4_MOUSE,1
sp|Q9EPV8|UBL5_MOUSE,1
sp|P60003|ELOF1_MOUSE,1
sp|Q09098|PATE4_MOUSE,1
sp|B3GLJ3|PATE3_MOUSE,1
sp|Q9D164|FXYD6_MOUSE,1
sp|P33622|APOC3_MOUSE,1
sp|Q8K003|TMA7_MOUSE,1
sp|Q923D4|SF3B5_MOUSE,1
sp|Q3URR0|CENPW_MOUSE,1
sp|P24807|CD24_MOUSE,1
sp|P50114|S100B_MOUSE,1
sp|P62075|TIM13_MOUSE,1
sp|Q8BTC1|UQCC6_MOUSE,1
sp|Q91V13|LEAP2_MOUSE,1
sp|O08997|ATOX1_MOUSE,1
sp|O09035|DBIL5_MOUSE,1
sp|Q3UN90|LYRM9_MOUSE,1
sp|P10146|CCL1_MOUSE,1
sp|P10855|CCL3_MOUSE,1
sp|P61957|SUMO2_MOUSE,1
sp|Q8BT42|SMIM5_MOUSE,1
sp|Q00LT2|PRCD_MOUSE,1
sp|Q8C4X1|CENPX_MOUSE,1
sp|Q9WV98|TIM9_MOUSE,1
sp|P56376|ACYP1_MOUSE,1
sp|P0C8B4|GON7_MOUSE,1
sp|A6H666|COX8C_MOUSE,1
sp|P63254|CRIP1_MOUSE,1
sp|Q8K215|LYRM4_MOUSE,1
sp|P56390|CKS2_MOUSE,1
sp|P17665|COX7C_MOUSE,1
NC_000081.7_2932,0
NC_000075.7_2209,0
NC_000073.7_10278,0
NC_000075.7_2920,0
NC_000068.8_325,0
NC_000074.7_6301,0
NC_000072.7_8699,0
NC_000081.7_3109,0
NC_000075.7_7966,0
NC_000073.7_11952,0
NC_000081.7_666,0
NC_000083.7_4259,0
NC_000082.7_3502,0
NC_000068.8_11103,0
NC_000073.7_3276,0
NC_000083.7_7932,0
NC_000071.7_8231,0
NC_000075.7_3433,0
NC_000068.8_13685,0
NC_000083.7_6950,0
NC_000084.7_2964,0
NC_000067.7_6419,0
NC_000067.7_8849,0
NC_000068.8_15171,0
NC_000069.7_3619,0
NC_000085.7_2358,0
NC_000075.7_5681,0
NC_000079.7_3429,0
NC_000081.7_4783,0
NC_000067.7_5965,0
NC_000075.7_9195,0
NC_000068.8_11182,0
NC_000067.7_7426,0
NC_000071.7_2862,0
NC_000072.7_1586,0
NC_000073.7_14324,0
NC_000074.7_7549,0
NC_000085.7_450,0
NC_000074.7_7034,0
NC_000078.7_3056,0
NC_000085.7_164,0
NC_000083.7_2320,0
NC_000070.7_8181,0
NC_000080.7_5921,0
NC_000080.7_4379,0
NC_000069.7_1995,0
NC_000069.7_4126,0
NC_000080.7_4688,0
NC_000068.8_6828,0
NC_000068.8_2632,0
NC_000079.7_7223,0
NC_000084.7_4737,0
NC_000073.7_3881,0
NC_000074.7_382,0
NC_000075.7_9346,0
NC_000078.7_1653,0
NC_000075.7_9124,0
NC_000077.7_4852,0
NC_000084.7_3574,0
NC_000072.7_47,0
NC_000068.8_6129,0
NC_000072.7_8931,0
NC_000074.7_7778,0
NC_000085.7_4373,0
NC_000081.7_3410,0
NC_000075.7_6990,0
